release_date,score,country_x,genre,budget,revenue,type,title,country_y,date_added
2023-07-21,0.0,US,Comedy,175000000.0,178359863.0,,,,
2014-03-27,56.0,AU,Drama,130000000.0,352831065.0,,,,
2021-07-02,78.0,JP,Animation,38211149.2,1094673.0,,,,
2022-03-10,68.0,JP,Animation,67654097.6,629573144.8,,,,
2022-11-04,76.0,AU,Mystery,93000000.0,394945972.8,,,,
2015-07-16,71.0,AU,Science Fiction,130000000.0,518858449.0,,,,
1997-02-13,74.0,AU,Crime,24000000.0,138874789.0,TV Show,Scream,United States,2021-07-06
1997-02-13,74.0,AU,Crime,15000000.0,173046640.0,TV Show,Scream,United States,2021-07-06
2019-12-28,73.0,AU,Family,150000000.0,1437862795.0,,,,
2007-06-07,63.0,AU,Fantasy,160000000.0,807330936.0,,,,
2007-09-06,78.0,AU,Animation,150000000.0,626549695.0,,,,
2022-08-26,49.0,US,Mystery,132800000.0,660707570.8,,,,
2021-03-04,79.0,AU,Animation,100000000.0,130423032.0,,,,
2022-11-18,75.0,AU,Family,35000000.0,374600744.4,,,,
2021-08-21,75.0,AU,Animation,26000000.0,144327371.0,,,,
2016-02-11,76.0,AU,Action,58000000.0,781947691.0,,,,
2016-01-01,68.0,AU,Adventure,187500000.0,333771037.0,,,,
2022-05-19,66.0,AU,Action,107700000.0,276937185.8,,,,
2023-02-24,66.0,US,Comedy,150000000.0,569719222.6,,,,
2018-03-29,75.0,AU,Drama,5000000.0,26078500.0,,,,
2011-09-28,70.0,AU,Action,110000000.0,263880341.0,Movie,Real Steel,"United States, India",2020-09-24
2021-12-26,65.0,AU,Science Fiction,190000000.0,159197755.0,,,,
